ts,expiry,spot,n_contracts,atm_iv,oi_pcr,oi_pcr_usd,oi_pcr_2pct,oi_pcr_4pct,oi_pcr_10pct,vol_pcr,iv_skew,iv_wing,delta_pcr,theta_pcr,vega_pcr,sr_support_dist,sr_resistance_dist,sr_support_oi,sr_resistance_oi,net_dir_score,gamma_tilt,max_pain_dist,iv_bidask,iv_term_slope,funding_rate,perp_basis,ls_ratio_top,ls_ratio_global,ls_divergence,taker_ratio,total_oi,total_vol,perp_oi
1781437278111,260615,64622.20217391,26,0.345,0.9330118856281128,0.9330118856281129,0.8373871128594381,0.46774829064781553,0.9330118856281128,0.6404255319148936,-0.005,0.1435,0.3547872430734345,0.468710535845918,0.5353977474920402,-0.07152653451008717,0.021320812038904124,150.74,144.15,0.126925,0.268319,-0.009628,0.004057,0.036,-3.852e-05,-0.0005704488444356234,1.5151,1.4219,0.0932,1.8842,974.1800000000001,755.58,100897.848
1781437338127,260615,64623.48347826,26,0.345,0.9322904274724404,0.9322904274724403,0.8373871128594381,0.46732586143015936,0.9322904274724404,0.6404255319148936,-0.003,0.1435,0.3539152205862745,0.47029204861315055,0.5346029790587281,-0.07154494356243402,0.02130056208132247,150.74,144.54,0.127118,0.271193,-0.009648,0.004059,0.036,-3.87e-05,-0.0005781235484798706,1.5138,1.4219,0.0919,1.7997,974.57,755.58,100895.368
1781437398138,260615,64623.6276087,26,0.344,0.9322904274724404,0.9322904274724403,0.8373871128594381,0.46732586143015936,0.9322904274724404,0.6404255319148936,-0.003,0.1445,0.3543768690005818,0.467683814218534,0.5355615216665731,-0.07154701430096666,0.02129828426893665,150.74,144.54,0.127118,0.266919,-0.00965,0.004061,0.037,-3.883e-05,-0.0005558070228288051,1.5138,1.4219,0.0919,1.7997,974.57,755.58,100896.281
1781437458151,260615,64620.97195652,26,0.344,0.9322904274724404,0.9322904274724403,0.8373871128594381,0.46732586143015936,0.9322904274724404,0.6404255319148936,-0.004,0.145,0.3557057264254637,0.4684358422762884,0.5365935433132742,-0.07150885875918433,0.021340255364897143,150.74,144.54,0.127118,0.26546,-0.009609,0.004062,0.037,-3.883e-05,-0.0005802757893402339,1.5138,1.4219,0.0919,1.7997,974.57,755.58,100903.575
1781437518160,260615,64617.08217391,26,0.345,0.9322904274724404,0.9322904274724403,0.8373871128594381,0.46732586143015936,0.9322904274724404,0.6365833657041737,-0.004,0.144,0.35815111953868334,0.46809446215105943,0.5387674058788083,-0.07145296597397599,0.02140173742862639,150.74,144.54,0.12855,0.26165,-0.00955,0.004062,0.036,-3.905e-05,-0.0005636428989779788,1.5138,1.4219,0.0919,1.7997,974.57,758.36,100904.197
1781437578169,260615,64614.04826087,26,0.345,0.9304456229222733,0.9304456229222732,0.8373871128594381,0.46732586143015936,0.9304456229222733,0.6365833657041737,-0.005,0.1435,0.35896574877081733,0.4679605082670717,0.538814630741439,-0.07140936661701547,0.02144969672128294,150.74,144.54,0.129044,0.261732,-0.009503,0.004063,0.035,-3.934e-05,-0.0006244502852862478,1.5138,1.4219,0.0919,1.7997,975.57,758.36,100900.807
1781437638171,260615,64605.17456522,26,0.345,0.9304456229222733,0.9304456229222734,0.8373871128594381,0.46732586143015936,0.9304456229222733,0.6365833657041737,-0.004,0.144,0.36498558254528635,0.46819294792081956,0.5445526727940493,-0.07128182217928991,0.021589995602780965,150.74,144.54,0.129044,0.251743,-0.009367,0.004061,0.035,-3.934e-05,-0.0006656311772596699,1.5138,1.4207,0.0931,1.7997,975.57,758.36,100903.237
1781437698176,260615,64607.865,26,0.346,0.9304456229222733,0.9304456229222732,0.8373871128594381,0.46732586143015936,0.9304456229222733,0.6365833657041737,-0.006,0.142,0.3631475547979287,0.46875091019909965,0.5425462630016956,-0.0713204963513343,0.021547454013532308,150.74,144.54,0.129044,0.256,-0.009409,0.004064,0.034,-3.993e-05,-0.0006105952828210844,1.5132,1.4207,0.0925,0.6829,975.57,758.36,100899.004
1781437758187,260615,64603.73086957,26,0.345,0.9304456229222733,0.9304456229222732,0.8373871128594381,0.46732586143015936,0.9304456229222733,0.6365833657041737,-0.003,0.1445,0.36440030390290906,0.4676530823756388,0.5439879562796583,-0.07126106817057642,0.021612825012365944,150.74,144.54,0.129044,0.25268,-0.009345,0.004064,0.035,-4.061e-05,-0.0006769093515401901,1.5132,1.4207,0.0925,0.6829,975.57,758.36,100895.349
1781437818198,260615,64610.53782609,26,0.346,0.9304456229222733,0.9304456229222732,0.8373871128594381,0.46732586143015936,0.9304456229222733,0.6365833657041737,-0.004,0.143,0.36071656172506456,0.46763685644754466,0.5405463942581712,-0.07135891421458262,0.021505194363959035,150.74,144.54,0.129044,0.257704,-0.00945,0.004068,0.034,-4.136e-05,-0.0006165840345925676,1.5132,1.419,0.0942,0.6829,975.57,758.36,100897.249
